;0_restaurant;0_address;0_country
125;42nd Green Tree Food Inc;42 8th Avenue;New York
126;42nd Green Tree Food Inc;42nd Green Tree Food Inc;
127;42nd Street Eatery;234 West 42nd Street;New York
128;42nd Street Pizza Corporation;647 West 42nd Street;
129;43rd Street Restaurant LLC;800 2 Av;New York
130;44;44 W 44th St;New York
131;44 South West Italian Rest;621 9th Ave;New York
132;44.5;626 10 Av;New York
133;45 St Nicholas Food Corporation;123 West 112th Street;New York
134;450 Park LLC;450 Park Avenue Bsmt;New York
135;46 Grand St;46 Grand;New York
136;46 St Bakery;161 West 46;New York
137;48 Theater Deli;62 West 48th Street Apt 3R;New York
138;48 West 48th Grocery Inc;48 W 48th St;New York
139;48th Street Cafe Inc;6 E 48th St;New York
140;5 & 10 No Exaggeration;77 Greene St;New York
141;500 Cafe;9 W 42nd St;New York
142;500 Station Grocery Deli;500 W 213th St;New York
143;5035 Broadway Food Inc;5035 Broadway;New York
144;50th St Restaurant Operating LLC;805 3 Av;New York
145;510 E 11 Street Corporation;510 East 11th Street Apt 1;New York
146;5162;2040 5th Avenue;New York
147;520 Asian Restaurant Corp;520 8 Av;New York
148;53 St Deli;437 West 53;New York
149;536 Madison Avenue Restaurant;536 Madison Ave;New York
150;540 Park Restaurant;540 Park Ave;New York
151;54th Street Ltd Partners;3 E 54th St # 1265;New York
152;55 Wall;55 Wall Street;New York
153;550 8th Ave Restaurant Corp;265 W 37th St # 550;New York
154;56 Cafe Restaurant;1377 Avenue Of The Americas;New York
155;57 St Bake Corp;153 West 57;New York
156;57 St Pizza Corporation;862 10th Avenue Frnt;New York
157;5757 Restaurant;5757 Restaurant;
158;5757 Restaurant;57 East 57th Street;New York
159;580 2nd AV Food Corporation;1500 3rd Avenue;New York
160;588 Restaurant Corp Caridad;588 Amsterdam Av;New York
161;5th Avenue Cafe;2 E 14th St;New York
162;6 Av Finest Deli;761 Avenue Of The Americas;New York
163;609 Madison Market Inc;36 East 58th Street Frnt;New York
164;612 Gourmet Deli Corporation;612 8th Avenue;New York
165;62 Pearl Rice & Noodle Inc;62 Pearl Street;New York
166;65th Street Restaurant;60 East 65th Street;New York
167;67 Liberty Gourmet;67 Liberty Street;New York
168;67 Macombs Deli Grocery;67 Macombs Pl;New York
169;69 Mott Street Restaurant;69 Mott Street;New York
170;7 Ignicks Restaurant Inc;132 Ludlow Street;New York
171;7 St Food Vegetable & Grocery Inc;118 1st Avenue;New York
172;7-11 Associates Inc;109 Greene St;New York
173;71 Clinton Fresh Food;71 Clinton Street;New York
174;71 Irving Place Coffee & Tea Bar;71 Irving Place Frnt;New York
175;719 Brother Famous Deli;719 9 Av;New York
176;75 Park Place Farm Inc;75 Park Place;New York
177;76 York Healthy Food Cafe;1443 York Avenue;New York
178;77493;1633 Broadway;
179;79 Baxter Pub Inc;79 Baxter Street Apt 4;New York
180;79 Street Boat Basin Cafe;;New York
181;7th Avenue Deli;833 7 Av;New York
182;7th Avenue Deli Grocery;2299 Adam Clayton Powell;New York
183;8 AV Deli & Flowers;931 8th Avenue;New York
184;81 Farm Deli;201 East 81st Street Frnt;New York
185;81 Pearl Chinese Restaurant;81 Pearl Street;New York
186;810 Deli Inc;810 7th Avenue;New York
187;82-Lugan Food Corporation;2125 3rd Avenue;New York
188;82nd Street Deli;1577 2nd Avenue;New York
189;837 Deli Inc;837 Avenue Of The Americ;New York
190;85 Down;85 Avenue A;New York
191;875 Third Ave Metro Coffee Shop;875 3rd Ave;New York
192;879 Taco;1229 1st Avenue;New York
193;87th Deli & Grocery;1685 1st Avenue;New York
194;88 Allen Kitchen Inc;88 Allen;New York
195;88 Lex Grill Inc;1332 Lexington Ave;New York
196;88 Noodle House;565 Columbus Avenue;New York
197;88 Palace Restaurant;88 East Broadway;New York
198;888 Great Wall Kitchen;2722 8th Ave;New York
199;89 Gourmet Deli;1718 2nd Avenue Apt 2C;New York
200;90 St Grocery;1733 1st Avenue;New York
201;910 8 AV Corporation;802 9th Avenue Frnt;New York
202;915 Pub;915 2nd Avenue;New York
203;92nd Street Gourmet Deli & Grocery;1766 2nd Ave;New York
204;92nd Street Gourmet Deli & Grocery;301 East 92nd Street;New York
205;96 Rose Deli & Grocery;104 West 96;New York
206;964 Jumbo Pizza Coffee Shop;964 Amsterdam Avenue Bsmt;New York
207;99 Hudson Street Restaurant and Lounge;99 Hudson Street;New York
208;99 Miles To Philly;94 3 Av;New York
209;99 Miles To Philly Inc;94 3 Av;New York
210;99 Second Restaurant;99 2nd Ave;New York
211;999 Union Farm Corp;999 3rd Ave;New York
212;A & A Deli & Bagels Inc;95 Delancey Street;New York
213;A & B Deli Inc;251 Avenue Of The Americ;New York
214;A & B Restaurant;2134 8th Ave;New York
215;A & C Kitchen;136 Avenue C;New York
216;A & J Grand Enterprise Inc;64 Fulton;New York
217;A & K News & Candy Store Inc;162 East Bway;New York
218;A & M Roadhouse;57 Murray St;New York
219;A & M Seafood;2032 Madison Ave;New York
220;A & N Falfel;2715 Broadway;New York
221;A & R West Indian Restaurant;2345 8th Ave;New York
222;A & S Delicatessen;737 9th Avenue;New York
223;A & S Grovery Deli;25 W 37th St;New York
224;A & S Restaurant;2118 3rd Ave # 116;New York
225;A & Three S Food Corporation;55 West 47th Street Unit 355;New York
226;A & Y Food Center;1470 Lexington Av;New York
227;A J Kelly;6 Stone Street;New York
228;A LA Creole;317 West 141st Street;New York
229;A La Brasa;2651 Broadway;New York
230;A La Turka;1417 2nd Avenue @ 74th Street;New York
231;A M H Deli & Grocery;880 Amsterdam Av;New York
232;A Marok Bar & Grill;32 Cliff Street;New York
233;A Restaurant Charlotte;145 W 44th St;New York
234;A Salt & Battery;80 2nd Avenue Frnt;New York
235;A Slice of New York;727 8th Avenue;New York
236;A Taste Of Seafood;50 E 125th St;New York
237;A Taste Siam Thai Restauarnt;180 2nd Ave;New York
238;A Tavola Italian Diner;American;
239;A Tavola Italian Diner;1095 Lexington Ave;New York
240;A-1 Pizza Shop;505 Grand Street;New York
241;A-Mix 1;120 East 34;New York
242;A.O.C.;314 Bleecker Street;New York
243;ABID Inc DBA Subway;165 Church Street;New York
244;AER Restaurant;409 West 13;New York
245;AJ Maxwell's Steakhouse;57 W. 48th Street;New York
246;AJA;1068 First Avenue;New York
247;AKI On West 4th;181 West 4th Street;New York
248;AKI Sushi;366 West 52nd Street;New York
249;AL Bacio;710 2nd Avenue;New York
250;AL Dente;417 Amsterdam Avenue;New York
251;AL Forno;1484 2nd Avenue Frnt;New York
252;AL Halal Fast Food Inc;94 Saint Nicholas Place;New York
253;ALCA Pizza & Chicken Restaurant;3771 Broadway;New York
254;ALT Coffee Inc;Coffee Shop;
255;ALT Coffee Inc;137 Avenue A;New York
256;AMI Delicatessen;1493 1 Av;New York
257;ANAN Joyti Corporation;330 West 38th Street;New York
258;ARA;24 9th Avenue;New York
259;ARKA Lounge Inc;4488 Broadway;New York
260;ARTseen Inc.;28 East Tenth Street Apt. 9B;New York
261;AVI Taam-Tov Corporation;46 West 47th Street;New York
262;AVRA Restaurant;141 East 48th Street;New York
263;AYZA Wine & Chocolate Bar;11 West 31st Street;New York
264;AZUL East Inc;152 Stanton Street;New York
265;Aahirahs Palace;108 W 116th St;New York
266;Aangan Restaurant;330 W 46th St;New York
267;Aar Restaurants;509 Madison Ave;New York
268;Abbey Restaurant;237 West 105th Street Frnt 1;New York
269;Abbey Tavern;354 3rd Ave;New York
270;Abby Restaurant & Bar;254 5th Ave;New York
271;Abdul Alkandi;700 10th Avenue;New York
272;Abigael's Restaurant & Catering;1407 Broadway;New York
273;Abigaels Ny Glatt Restaurant;9 E 37th St;New York
274;Abitino Pizzeria & Restaurant;947 1st Avenue;New York
275;Abitino Pizzeria & Restaurant;733 2nd Avenue Frnt;New York
276;Abitino Pizzeria & Restaurant;1435 Broadway;New York
277;Above;234 West 42nd Street;New York
278;Abruzzi Restaurant;37 West 56th Street Frnt;New York
279;Absolutely 4th;228 West 4th Street Frnt;New York
280;Abyssinia Ethiopian Restrnt;35 Grand St;New York
281;Acadaddin Restaurant;101 Lexington Ave # 27;New York
282;Academy Cafe;343 2nd Avenue;New York
283;Acappella;1 Hudson Street;New York
284;Ace Bar;531 East 5th Street Frnt;New York
285;Ace Luck Thai;530 9th Avenue;New York
286;Aces & Eights Saloon;1683 1st Ave;
287;Acme Bar & Grill;9 Great Jones St # 9;New York
288;Acme Pleating & Fagoting Corporation;147 West 26th Street Floor 2;New York
289;Acorn Food Svc;500 Pearl St;New York
290;Acosta Antonio;934 Amsterdam Avenue;New York
291;Acqua;718 Amsterdam Avenue;New York
292;Acquapazza;36 West 52nd Street;New York
293;Acropolis Food Of Health Square;1 Herald Sq;New York
294;Acropolis Restaurant;11 Fulton Street;New York
295;Across the Street Inc;444 East 91st Street;New York
296;Acuaplas Restaurant;111 E. 128 St.;New York
297;Acute Cafe;110 West Broadway;New York
298;Ada;208 East 58th Street;New York
299;Adham Deli Grocery;2240 Adam Clayton Powell;New York
300;Adi's Deli;46 West 36th Street;New York
301;Adiletto's;812 Washington;New York
302;Adiletto's;650 West 42;New York
303;Admirals Galley the Inc;160 South Street;New York
304;Adria Wine Bar;26 Prince;New York
305;Adriana Pizzeria;255 3rd Avenue;New York
306;Adrianne's Pizza Bar;54 Stone;New York
307;Adriatic Italian Restaurant;321 1st Ave;New York
308;Adrienne;700 5th Avenue;New York
309;Aegean Restaurant;221 Columbus Av;New York
310;Afghan Restaurant;34 Saint Marks Place;New York
311;Afghan Shish Kebab;789 9th Ave;New York
312;Afghanistan Kebab House;Afghan;
313;Afghanistan Kebab House;764 9th Avenue;New York
314;Afghanistan Kebab House;155 W 46th St;New York
315;Afghanistan Kebab House 2;1345 2nd Avenue;New York
316;Africa Restaurant;247 W 116th St;New York
317;Africa Restaurant;346 W 53rd St;New York
318;African Progress Restaurant;2795 Frederick Dglss Boulevard;New York
319;African Sisters;62 E 116th St Bet.madison&park;New York
320;Agan Cheng;63 Avenue D;New York
321;Agave Restaurant;140 7th Avenue;New York
322;Agora Restaurant;1586 1st Ave # 1586;New York
323;Agozar Restaurant & Lounge;more info: Cuban;
324;Agozar Restaurant & Lounge;324 Bowery Street;New York
325;Agra Indian & Pakistan;807 Lexington Avenue;New York
326;Agra Restaurant;807 Lexington Avenue;
327;Agrodolce Inc;Fast Food;
328;Agrodolce Inc;168 Sullivan;New York
329;Agua Caliente Enterprises;117 Dyckman Street;New York
330;Ah Chihuahua Chihuahua's;330 East 53rd Street;New York
331;Ahmady Foods Corp;3351 Broadway;New York
332;Ai-Chi Restaurant Corp;61 Grove;New York
333;Aiello's Pizza Emporium;383 3rd Avenue;New York
334;Ainolaphek Inc;17 E River Piers;New York
335;Aisifik Diner Corp;343 2nd Ave;New York
336;Aisifik Diner Corp;Diner;
337;Aix Restaurant;2398 Broadway;New York
338;Ajanta India Restaurant;1237 Amsterdam Avenue;New York
339;Ajisai Japanese Restaurant;1466 1st Avenue Frnt;New York
340;Ajisai Japanese Restaurant;Japanese;
341;Ajisen Noodle Restaurant Inc;14 Mott Street Frnt;New York
342;Akahi Inc;292 Madison Avenue Frnt;New York
343;Akaihana En Restaurant;2164 Broadway;New York
344;Akira Miyazaki Inc;251 W 55th St;New York
345;Al Bacio;1679 3rd Ave;New York
346;Al Bustan;827 Third Avenue;New York
347;Al Bustan Restaurant;827 3rd Avenue;New York
348;Al Diwan;210 Avenue A/13th St.;New York
349;Al Lee Luncheonette;190 Lenox Ave;New York
350;Al Ponte Vecchio Restaurant;206 Thompson St;New York
351;Al's Deli;34 Rutgers Street;New York
352;Al's Delicatessen & Catering;458 7 Av;New York
353;Al-Baraka Mediterranian;154 East 55th Street;New York
354;Al-Len Cafe Inc;173 Chambers Street;New York
355;Aladdin Hotel;317 W 45th St # NY;New York
356;Alain Ducasse at Essex House;160 Central Park South;New York
357;Alaska Food Market;108 9 Avenue;New York
358;Alaskan Feast;27 Fulton Market;New York
359;Alaya Grocery And Deli Corp;177 Audubon Av;New York
360;Alba Speciality Seafood CO;233 Water Street;
361;Alba Tratoria Restaurant Inc;331 West 38;New York
362;Alberto Lastreto Inc;214 West 29;New York
363;Albrm Realty;135 E 55th St # 5;New York
364;Aldailam Deli Market;316 Saint Nicholas Avenue;New York
365;Aleems Coffee Shop;46 W 21st St;New York
366;Aleo;7 W 20th St;New York
367;Aleo Restaurant;7 W 20th St;New York
368;Alex's Deli;95 Macdougal Street;New York
369;Alexi On;25 W 56th St;New York
370;Alfama Restaurant;551 Hudson;New York
371;Alhaklain Khalid;3680 Broadway;New York
372;Ali Baba Restaurant;126 Macdougal Street;New York
373;Ali Baba Restaurant;212 East 34th Street;New York
374;Ali Baba Terrace;862 2nd Avenue;New York
375;Ali Baba of West Side;515 Amsterdam Avenue;New York
376;Alias Restaurant;76 Clinton Street;New York
377;Alibi;116 Macdougal Street;New York
378;Alice's Tea Cup;102 West 73rd Street;New York
379;Alice's Tea Cup Chapter II;156 East 64;New York
380;Alison on Dominick Street;38 Dominick St;New York
381;Aljuhaiem Deli;207 Clinton Street;New York
382;All American Deli;42 Water Street;New York
383;All American Deli;American;
384;All American Health Bar;24 E 42nd St;New York
385;All American Water Street Deli;42 Water Street;New York
386;All Natural Ben & Jerry's All Natural Vr;2722 Broadway;New York
387;All State Cafe;250 West 72nd Street Frnt;New York
388;Allan Dell Enterprises;430 West 14th Street;New York
389;Allegria Restaurant;1350 Avenue Of The Americ;New York
390;Allen Friedberg Restaurant;205 W 39th St;New York
391;Alleys End Restaurant;311 W 17th St;New York
392;Allora Restaurant Inc;1321 1st Ave # 1;New York
393;Allora S P A Inc;90 West Houston Street Bsmt;New York
394;Alnaham Express Deli & Grocery;2176 2nd Avenue;New York
395;Aloe Restaurant;406 East 9th St.;New York
396;Aloha 44 Inc;67 West 44th Street;New York
397;Alonia Restaurant Corporation;600 East 14th Street;New York
398;Alonso's Steakhouse;263 West 19th Street;New York
399;Alonti Cafe;450 Lexington Ave;New York
400;Alonti Cafe;639 3rd Avenue;New York
401;Alonzos Restaurant;302 E 45th St;New York
402;Alouette;2588 Broadway;New York
403;Alpha Fusion NYC;365 W. 34th Street;New York
404;Alpha Fusion NYC;365 W 39th Street;New York
405;Alpha Fusion NYC;Fusion;
406;Alpha One;348 7th Avenue;New York
407;Alphabet Cafe;202 East 7th Street;New York
408;Alphabet Cafe;Cafe;
409;Alpine Gourmet Farm;480 Fashion Avenue;New York
410;Als Deli;197 Madison Street;New York
411;Alta Restaurant;64 West 10th Street;New York
412;Alva;36 West 22nd Street;New York
413;Alvarez Dalila;375 1st Avenue;New York
414;Always Delicious;3867 10th Avenue;New York
415;Ama Deli;3600 Broadway;New York
416;Ama Restaurant;48 Macdougal;New York
417;Amakusa Restaurant;143 East 47th Street;New York
418;Amaranth Restaurant;21 East 62nd Street Frnt;New York
419;Amarone Ristorante;686 9th Ave;New York
420;Amaya Thai;234 East 4th Street;New York
421;Ambassador Grill & Restaurant;1 United Nations Plz;New York
422;Amber Asian Cuisine;1406 3 Av;New York
423;Amber Gramercy;381 Third Avenue;New York
424;Ambrosia Restaurant;273 1 Av;New York
425;America;9 e 18th St;New York
426;American;New World;
427;American Cafe Health;160 Broadway;New York
428;American Choice Deli;111 Delancey Street;New York
429;American East Fuzhou Restaurant;54 East Broadway Frnt;New York
430;American Festival;600 5th Ave # 30;New York
431;American Festival Cafe;20 W 50th St;New York
432;American Museum Restaurant;79 Central Park W;New York
433;American Restaurant Inc;2130 Broadway;New York
434;American Trash;1471 1st Ave;New York
435;Ameriego;1370 York Ave;New York
436;Ameritania Hotel;230 W 54th St # NY;New York
437;Amici 36;519 8 Av;New York
438;Amici MIEI;475 Broadway;New York
439;Amin Indian Cuisine;Indian;
440;Amin Indian Cuisine;155 E 87th St;New York
441;Amir Restaurant Corp;36 Avenue A # B;New York
442;Amir's Falafel;2911 Broadway;New York
443;Amirs Falafel & Gyros;901 Avenue Of The Americas;New York
444;Amity Restaurants;1134 Madison Avenue Frnt;New York
445;Ammos;52 Vanderbilt Av;New York
446;Amore Pizza Restaurant;147 Chambers Street;New York
447;Amsterdam Cafe;1207 Amsterdam Avenue;New York
448;Amsterdam Deli;321 Amsterdam Avenue;New York
449;Amsterdam Deli;481 Amsterdam Avenue;New York
450;Amsterdam Finest Deli;720 Amsterdam Avenue;New York
451;Amsterdam Restaurant;283 Amsterdam Ave;New York
452;Amsterdam's Bar & Rotisserie;428 Amsterdam Avenue;New York
453;Amuse Restaurant;108 West 18th Street Lbby;New York
454;Amy Ruth's Restaurant;113 West 116th Street;New York
455;Amy's Bread Retail Shop;250 Bleecker Street;New York
456;Amy's Bread Retail Shop;672 9th Avenue;New York
457;Amy's Bread Retail/Wholesale;75 9th Avenue;New York
458;An American Place;565 Lexington Avenue;New York
459;An American Place Restaurante;2 Park Ave;New York
460;Ana Deli;203 7th Avenue Frnt;New York
461;Ana's;2686 Broadway;New York
462;Anche Vivolo;222 East 58th Street;New York
463;Andre French Restaurant;242 W 56th St;New York
464;Andreas' Brick Oven Ristorante;307 3rd Avenue;New York
465;Andrew's 35 St Coffee Shop;463 7 Av;New York
466;Andrew's Coffee Shop;116 John Street;New York
467;Andrew's Coffee Shop;246 West 38th Street;New York
468;Andrews Coffee Shop;136 5th Ave;New York
469;Andrews Coffee Shop;1410 Broadway;New York
470;Andrews Coffee Shop;164 Madison Street;New York
471;Andrews Coffee Shop;166 5th Ave;New York
472;Andrews Coffee Shop;138 East 43rd Street;New York
473;Andrews Coffee Shop;164 Madison Ave;New York
474;Andrusha Restaurant;1370 Lexington Ave # 1;New York
475;Andy's Deli;59 4 Av;New York
476;Andy's Deli;518 Amsterdam Avenue;New York
477;Andy's Deli;295 Amsterdam Avenue;New York
478;Andy's Deli;106 7th Avenue;New York
479;Andy's Restaurant;2262 3 Av;New York
480;Anesis Cafe;42 West 35th Street Lbby;New York
481;Angel's Ristorante;1135 1st Avenue Frnt;New York
482;Angela's;524 West 36;New York
483;Angela's Coffee Shop;805 West 187th Street;New York
484;Angela's Gourmet Deli;1428 Avenue Of The Americ;New York
485;Angelas Cuisine;913 2nd Ave;New York
486;Angelica Kitchen;300 East 12th Street;
487;Angelina Cafe;36 Avenue A;New York
488;Angelinos Pizza Restaurant;3861 Broadway;New York
489;Angelo & Maxies Steakhouse;233 Park Avenue South;New York
490;Angelo of Mulberry St Restaurant;146 Mulberry Street;New York
491;Angelo's Classic;131 8 Av;New York
492;Angelo's Coal Oven Pizzeria;117 West 57th Street;New York
493;Angelos Express;564 Amsterdam Ave;New York
494;Angelos Pizzeria;1043 2nd Avenue;New York
495;Angelos Pizzeria;1697 Broadway;New York
496;Angels;401 West 48th Street Frnt;New York
497;Angels Take Out;365 E 62nd St;New York
498;Angler's & Writers;420 Hudson Street;New York
499;Angon On the Sixth;320 East 6th Street Frnt;New York
500;Angus Mcindoe Restaurant;258 West 44th Street;New York
501;Anitas Deli & Grocery;180 Lexington Avenue;New York
502;Anju;36 East 20th St;New York
503;Anna Caona Restaurant;1590 Saint Nicholas Ave;New York
504;Anna Maria Pizza Too;1592 1st Avenue;New York
505;Anna Maria Pizzeria;1592 1st Avenue;New York
506;Anna Maria Pizzeria;112 East 23rd Street Frnt;New York
507;Annam Restaurant Inc;40 Carmine St;New York
508;Annapurna Indian Restaurant;108 Lexington Ave;New York
509;Anndon Restaurant Corporation;16 West 22nd Street Frnt;New York
510;Anneliese's Pastries & Fine Foods Inc;1516 1st Ave;New York
511;Annie Moores Bar & Restaurant;50 East 43rd Street;New York
512;Annie's Restaurant;1381 3rd Avenue Frnt;New York
513;Annisa;13 Barrow Street;New York
514;Another Good Location;1372 Broadway;New York
515;Another Taste Of Seafood;57 Lenox Av;New York
516;Anotheroom Inc;249 West Broadway;New York
517;Antaranga Inc;11 W 29th St;New York
518;Antica Venezia;396 West Street (corner of W 10th St.);New York
519;Antique Cafe;234 West 27;New York
520;Antojitos Criollo;239 9th Ave;New York
521;Antonio Ristorante;140 W 13th St;New York
522;Antons Restaurant;259 W 4th St;New York
523;Anytime Cafe;142 Fulton;New York
524;Anytime Restaurant;116 Avenue C;New York
525;Anyway Cafe;32 East 2nd Street;New York
526;Aperitivo Restaurant Inc;29 W 56th St;New York
527;Apizz Restaurant;217 Eldridge Street;New York
528;Apna Taj;159 E. 55th Street;
529;Apollo Restaurant;333 Park Avenue South;New York
530;Apollo Restaurant;Arsenal Street Plaza;New York
531;Apollo Restaurant;(315) 788-3569;
532;Apolo Restaurant;168 Delancey Street Frnt;New York
533;Appetito;47 West 39th Street;New York
534;Applause Chinese Restaurant;24 E 33rd St;New York
535;Apple Jack Coffee Shop;230 West 55th Street Lowr;New York
536;Apple Restaurant & Bombar;17 Waverly Pl;New York
537;Apple Seed Taco Bell;115 East 23rd Street;New York
538;Applebee's;234 West 42nd Street;New York
539;Applebees;102 North End Avenue;New York
540;Apre' Scott's;353 Greenwich Street;New York
541;Aqua Grill Inc;210 Spring Street;New York
542;Aquamarina Restaurant;4060 Broadway;New York
543;Aquarmarine Asian Cuisine;713 2 Av;New York
544;Aquaterra;209 East 56;New York
545;Aquavit Restaurant;65 E 55th St;New York
546;Arabelle;37 East 64th Street;New York
547;Arai;174 Bleecker St # 1;New York
548;Aramark;695 Park Ave;New York
549;Arang;9 West 32nd Street 2nd Floor;New York
550;Arby's;305 Avenue Of The Americ;New York
551;Arc Chicken;1382 2nd Ave;New York
552;Arcade Pizza;1611 Saint Nicholas Avenue;New York
